"JP_Kanji","JP_Kana","JP_Roma","org_Longitude","org_Latitude","Classification",lon,lat
"網代","あじろ","Ajiro","139 ゚ 05’","35 ゚ 02’","Populated area",139.0833333333,35.0333333333
"阿嘉島","あかじま","Aka Jima","127 ゚ 15’","26 ゚ 11’","Island",127.25,26.1833333333
"赤平市","あかびらし","Akabira Shi","142 ゚ 02’","43 ゚ 33’","Municipality",142.0333333333,43.55
"赤岳","あかだけ","Akadake","138 ゚ 21’","35 ゚ 58’","Mountain",138.35,35.9666666667
"赤泊","あかどまり","Akadomari","138 ゚ 24’","37 ゚ 52’","Populated area",138.4,37.8666666667
"赤川","あかがわ","Akagawa","139 ゚ 46’","38 ゚ 50’","River",139.7666666667,38.8333333333
"赤城山","あかぎさん","Akagi San","139 ゚ 09’","36 ゚ 33’","Mountain",139.15,36.55
"赤井川村","あかいがわむら","Akaigawa Mura","140 ゚ 48’","43 ゚ 05’","Municipality",140.8,43.0833333333
"赤石岳","あかいしだけ","Akaishi Dake","138 ゚ 08’","35 ゚ 27’","Mountain",138.1333333333,35.45
"赤石川","あかいしがわ","Akaishi Gawa","140 ゚ 09’","40 ゚ 45’","River",140.15,40.75
"赤石山脈","あかいしさんみゃく","Akaishi Sanmyaku","138 ゚ 08’","35 ゚ 32’","Extensive natural feature",138.1333333333,35.5333333333
"赤磐市","あかいわし","Akaiwa Shi","134 ゚ 01’","34 ゚ 45’","Municipality",134.0166666667,34.75
"赤村","あかむら","Akamura","130 ゚ 52’","33 ゚ 36’","Municipality",130.8666666667,33.6
"阿寒富士","あかんふじ","Akan Fuji","143 ゚ 59’","43 ゚ 22’","Mountain",143.9833333333,43.3666666667
"阿寒川","あかんがわ","Akan Gawa","144 ゚ 16’","42 ゚ 59’","River",144.2666666667,42.9833333333
"阿寒湖","あかんこ","Akan Ko","144 ゚ 05’","43 ゚ 27’","Lake",144.0833333333,43.45
"阿寒湖畔","あかんこはん","Akankohan","144 ゚ 05’","43 ゚ 25’","Populated area",144.0833333333,43.4166666667
"明石海峡","あかしかいきょう","Akashi Kaikyo","135 ゚ 01’","34 ゚ 36’","Sea Area",135.0166666667,34.6
"明石市","あかしし","Akashi Shi","134 ゚ 59’","34 ゚ 38’","Municipality",134.9833333333,34.6333333333
"赤島","あかしま","Akashima","128 ゚ 55’","32 ゚ 35’","Island",128.9166666667,32.5833333333
"赤島","あかしま","Akashima","128 ゚ 58’","33 ゚ 11’","Island",128.9666666667,33.1833333333
"明浜","あけはま","Akehama","132 ゚ 25’","33 ゚ 19’","Populated area",132.4166666667,33.3166666667
"安芸川","あきがわ","Aki Gawa","133 ゚ 54’","33 ゚ 29’","River",133.9,33.4833333333
"秋川","あきがわ","Aki Gawa","139 ゚ 16’","35 ゚ 42’","River",139.2666666667,35.7
"安芸灘","あきなだ","Aki Nada","132 ゚ 40’","34 ゚ 07’","Sea Area",132.6666666667,34.1166666667
"安芸市","あきし","Aki Shi","133 ゚ 54’","33 ゚ 30’","Municipality",133.9,33.5
"秋葉山","あきはさん","Akiha San","137 ゚ 51’","34 ゚ 58’","Mountain",137.85,34.9666666667
"秋の七草海山群","あきのななくさかいざんぐん","Akinonanakusa Kaizangun","147 ゚ 50’","28 ゚ 10’","Undersea feature",147.8333333333,28.1666666667
"安芸太田町","あきおおたちょう","Akiota Cho","132 ゚ 13’","34 ゚ 34’","Municipality",132.2166666667,34.5666666667
"あきる野市","あきるのし","Akiruno Shi","139 ゚ 17’","35 ゚ 43’","Municipality",139.2833333333,35.7166666667
"昭島市","あきしまし","Akishima Shi","139 ゚ 21’","35 ゚ 42’","Municipality",139.35,35.7
"秋田県","あきたけん","Akita Ken","140 ゚ 06’","39 ゚ 43’","Municipality",140.1,39.7166666667
"秋田市","あきたし","Akita Shi","140 ゚ 06’","39 ゚ 43’","Municipality",140.1,39.7166666667
"安芸高田市","あきたかたし","Aki-takata Shi","132 ゚ 42’","34 ゚ 39’","Municipality",132.7,34.65
"秋吉台","あきよしだい","Akiyoshi Dai","131 ゚ 17’","34 ゚ 15’","Extensive natural feature",131.2833333333,34.25
"秋勇留島","あきゆりとう","Akiyuri To","146 ゚ 00’","43 ゚ 21’","Island",146,43.35
"安家川","あっかがわ","Akka Gawa","141 ゚ 51’","40 ゚ 03’","River",141.85,40.05
"安家森","あっかもり","Akka Mori","141 ゚ 32’","40 ゚ 02’","Mountain",141.5333333333,40.0333333333
"厚岸町","あっけしちょう","Akkeshi Cho","144 ゚ 50’","43 ゚ 03’","Municipality",144.8333333333,43.05
"厚岸湖","あっけしこ","Akkeshi Ko","144 ゚ 52’","43 ゚ 02’","Lake",144.8666666667,43.0333333333
"厚岸湾","あっけしわん","Akkeshi Wan","144 ゚ 47’","42 ゚ 59’","Sea Area",144.7833333333,42.9833333333
"赤穂市","あこうし","Ako Shi","134 ゚ 23’","34 ゚ 45’","Municipality",134.3833333333,34.75
"阿久根市","あくねし","Akune Shi","130 ゚ 11’","32 ゚ 00’","Municipality",130.1833333333,32
"悪石島","あくせきじま","Akuseki Jima","129 ゚ 35’","29 ゚ 27’","Island",129.5833333333,29.45
"海士町","あまちょう","Ama Cho","133 ゚ 05’","36 ゚ 05’","Municipality",133.0833333333,36.0833333333
"海士崎","あまざき","Ama Zaki","136 ゚ 39’","37 ゚ 08’","Cape",136.65,37.1333333333
"尼崎市","あまがさきし","Amagasaki Shi","135 ゚ 24’","34 ゚ 44’","Municipality",135.4,34.7333333333
"雨ヶ岳","あまがたけ","Amagatake","138 ゚ 33’","35 ゚ 25’","Mountain",138.55,35.4166666667
"天城町","あまぎちょう","Amagi Cho","128 ゚ 53’","27 ゚ 48’","Municipality",128.8833333333,27.8
"天城山","あまぎさん","Amagi San","139 ゚ 00’","34 ゚ 51’","Mountain",139,34.85
"天城峠","あまぎとうげ","Amagi Toge","138 ゚ 56’","34 ゚ 49’","Pass",138.9333333333,34.8166666667
"雨乞岳","あまごいだけ","Amagoi Dake","136 ゚ 22’","35 ゚ 01’","Mountain",136.3666666667,35.0166666667
"雨飾山","あまかざりやま","Amakazari Yama","137 ゚ 57’","36 ゚ 54’","Mountain",137.95,36.9
"天草灘","あまくさなだ","Amakusa Nada","129 ゚ 39’","32 ゚ 21’","Sea Area",129.65,32.35
"天草市","あまくさし","Amakusa Shi","130 ゚ 11’","32 ゚ 27’","Municipality",130.1833333333,32.45
"天草諸島","あまくさしょとう","Amakusa Shoto","130 ゚ 10’","32 ゚ 20’","Extensive natural feature",130.1666666667,32.3333333333
"雨巻山","あままきざん","Amamaki Zan","140 ゚ 08’","36 ゚ 24’","Mountain",140.1333333333,36.4
"奄美海台","あまみかいだい","Amami Kaidai","132 ゚ 28’","28 ゚ 06’","Undersea feature",132.4666666667,28.1
"奄美市","あまみし","Amami Shi","129 ゚ 29’","28 ゚ 22’","Municipality",129.4833333333,28.3666666667
"奄美諸島","あまみしょとう","Amami Shoto","128 ゚ 49’","27 ゚ 41’","Extensive natural feature",128.8166666667,27.6833333333
"天ノ川","あまのがわ","Amanogawa","140 ゚ 11’","41 ゚ 45’","River",140.1833333333,41.75
"阿見町","あみまち","Ami Machi","140 ゚ 12’","36 ゚ 01’","Municipality",140.2,36.0166666667
"天降川","あもりがわ","Amori Gawa","130 ゚ 44’","31 ゚ 42’","River",130.7333333333,31.7
"穴水町","あなみずまち","Anamizu Machi","136 ゚ 54’","37 ゚ 13’","Municipality",136.9,37.2166666667
"阿南町","あなんちょう","Anan Cho","137 ゚ 48’","35 ゚ 19’","Municipality",137.8,35.3166666667
"阿南市","あなんし","Anan Shi","134 ゚ 39’","33 ゚ 55’","Municipality",134.65,33.9166666667
"安房川","あんぼうがわ","Anbo Gawa","130 ゚ 36’","30 ゚ 19’","River",130.6,30.3166666667
"安堵町","あんどちょう","Ando Cho","135 ゚ 45’","34 ゚ 36’","Municipality",135.75,34.6
"姉島","あねじま","Ane Jima","142 ゚ 09’","26 ゚ 33’","Island",142.15,26.55
"安永海山","あんえいかいざん","An-ei Kaizan","138 ゚ 40’","29 ゚ 20’","Undersea feature",138.6666666667,29.3333333333
"阿仁川","あにがわ","Ani Gawa","140 ゚ 20’","40 ゚ 08’","River",140.3333333333,40.1333333333
"兄島","あにじま","Ani Jima","142 ゚ 12’","27 ゚ 07’","Island",142.2,27.1166666667
"安城市","あんじょうし","Anjo Shi","137 ゚ 04’","34 ゚ 57’","Municipality",137.0666666667,34.95
"安中市","あんなかし","Annaka Shi","138 ゚ 53’","36 ゚ 19’","Municipality",138.8833333333,36.3166666667
"安八町","あんぱちちょう","Anpachi Cho","136 ゚ 39’","35 ゚ 20’","Municipality",136.65,35.3333333333
"青ヶ島","あおがしま","Aogashima","139 ゚ 45’","32 ゚ 28’","Island",139.75,32.4666666667
"青ケ島村","あおがしまむら","Aogashima Mura","139 ゚ 45’","32 ゚ 28’","Municipality",139.75,32.4666666667
"青木村","あおきむら","Aoki Mura","138 ゚ 07’","36 ゚ 22’","Municipality",138.1166666667,36.3666666667
"青森県","あおもりけん","Aomori Ken","140 ゚ 44’","40 ゚ 49’","Municipality",140.7333333333,40.8166666667
"青森市","あおもりし","Aomori Shi","140 ゚ 44’","40 ゚ 49’","Municipality",140.7333333333,40.8166666667
"青森湾","あおもりわん","Aomori Wan","140 ゚ 43’","40 ゚ 53’","Sea Area",140.7166666667,40.8833333333
"青苗","あおなえ","Aonae","139 ゚ 26’","42 ゚ 03’","Populated area",139.4333333333,42.05
"青苗岬","あおなえみさき","Aonae Misaki","139 ゚ 27’","42 ゚ 02’","Cape",139.45,42.0333333333
"青野山","あおのやま","Aono Yama","131 ゚ 47’","34 ゚ 27’","Mountain",131.7833333333,34.45
"青島","あおしま","Aoshima","131 ゚ 28’","31 ゚ 48’","Island",131.4666666667,31.8
"青島","あおしま","Aoshima","132 ゚ 28’","33 ゚ 44’","Island",132.4666666667,33.7333333333
"青麻山","あおそやま","Aoso Yama","140 ゚ 36’","38 ゚ 05’","Mountain",140.6,38.0833333333
"アポイ岳","あぽいだけ","Apoi Dake","143 ゚ 01’","42 ゚ 06’","Mountain",143.0166666667,42.1
"厚別川","あっぺつがわ","Appetsu Gawa","142 ゚ 12’","42 ゚ 25’","River",142.2,42.4166666667
"荒船山","あらふねさん","Arafune San","138 ゚ 38’","36 ゚ 12’","Mountain",138.6333333333,36.2
"新城島","あらぐすくしま","Aragusuku Shima","123 ゚ 56’","24 ゚ 12’","Island",123.9333333333,24.2
"新居町","あらいちょう","Arai Cho","137 ゚ 33’","34 ゚ 41’","Municipality",137.55,34.6833333333
"荒海山","あらかいやま","Arakai Yama","139 ゚ 38’","37 ゚ 02’","Mountain",139.6333333333,37.0333333333
"荒川","あらかわ","Arakawa","139 ゚ 50’","35 ゚ 38’","River",139.8333333333,35.6333333333
"荒川","あらかわ","Arakawa","139 ゚ 23’","38 ゚ 08’","River",139.3833333333,38.1333333333
"荒川岳","あらかわだけ","Arakawa Dake","138 ゚ 09’","35 ゚ 29’","Mountain",138.15,35.4833333333
"荒川町","あらかわまち","Arakawa Machi","139 ゚ 26’","38 ゚ 07’","Municipality",139.4333333333,38.1166666667
"荒木埼","あらきざき","Araki Zaki","129 ゚ 55’","28 ゚ 17’","Cape",129.9166666667,28.2833333333
"荒木埼","あらきざき","Araki Zaki","129 ゚ 13’","29 ゚ 07’","Cape",129.2166666667,29.1166666667
"荒雄岳","あらおだけ","Arao Dake","140 ゚ 41’","38 ゚ 49’","Mountain",140.6833333333,38.8166666667
"荒尾市","あらおし","Arao Shi","130 ゚ 26’","32 ゚ 59’","Municipality",130.4333333333,32.9833333333
"荒崎","あらさき","Arasaki","127 ゚ 40’","26 ゚ 04’","Cape",127.6666666667,26.0666666667
"荒沢岳","あらさわだけ","Arasawa Dake","140 ゚ 54’","41 ゚ 22’","Mountain",140.9,41.3666666667
"荒島岳","あらしまだけ","Arashima Dake","136 ゚ 35’","35 ゚ 55’","Mountain",136.5833333333,35.9166666667
"有明海","ありあけかい","Ariake Kai","130 ゚ 16’","33 ゚ 02’","Sea Area",130.2666666667,33.0333333333
"有田川","ありだがわ","Arida Gawa","135 ゚ 04’","34 ゚ 04’","River",135.0666666667,34.0666666667
"有田市","ありだし","Arida Shi","135 ゚ 07’","34 ゚ 04’","Municipality",135.1166666667,34.0666666667
"有田川町","ありだがわちょう","Aridagawa Cho","135 ゚ 12’","34 ゚ 03’","Municipality",135.2,34.05
"有福島","ありふくじま","Arifuku Jima","128 ゚ 56’","32 ゚ 54’","Island",128.9333333333,32.9
"有馬","ありま","Arima","135 ゚ 14’","34 ゚ 47’","Populated area",135.2333333333,34.7833333333
"有田町","ありたちょう","Arita Cho","129 ゚ 50’","33 ゚ 12’","Municipality",129.8333333333,33.2
"厚狭川","あさがわ","Asa Gawa","131 ゚ 09’","34 ゚ 01’","River",131.15,34.0166666667
"阿佐山","あさやま","Asa Yama","132 ゚ 22’","34 ゚ 47’","Mountain",132.3666666667,34.7833333333
"あさぎり町","あさぎりちょう","Asagiri Cho","130 ゚ 53’","32 ゚ 14’","Municipality",130.8833333333,32.2333333333
"朝来市","あさごし","Asago Shi","134 ゚ 51’","35 ゚ 20’","Municipality",134.85,35.3333333333
"朝日町","あさひちょう","Asahi Cho","136 ゚ 39’","35 ゚ 02’","Municipality",136.65,35.0333333333
"旭岳","あさひだけ","Asahi Dake","142 ゚ 51’","43 ゚ 39’","Mountain",142.85,43.65
"朝日岳","あさひだけ","Asahi Dake","137 ゚ 43’","36 ゚ 49’","Mountain",137.7166666667,36.8166666667
"朝日岳","あさひだけ","Asahi Dake","139 ゚ 54’","38 ゚ 15’","Mountain",139.9,38.25
"旭川","あさひがわ","Asahi Gawa","133 ゚ 58’","34 ゚ 36’","River",133.9666666667,34.6
"朝日町","あさひまち","Asahi Machi","137 ゚ 33’","36 ゚ 56’","Municipality",137.55,36.9333333333
"朝日町","あさひまち","Asahi Machi","140 ゚ 08’","38 ゚ 17’","Municipality",140.1333333333,38.2833333333
"朝日村","あさひむら","Asahi Mura","137 ゚ 51’","36 ゚ 07’","Municipality",137.85,36.1166666667
"朝日村","あさひむら","Asahi Mura","139 ゚ 32’","38 ゚ 16’","Municipality",139.5333333333,38.2666666667
"旭市","あさひし","Asahi Shi","140 ゚ 38’","35 ゚ 43’","Municipality",140.6333333333,35.7166666667
"旭川市","あさひかわし","Asahikawa Shi","142 ゚ 21’","43 ゚ 46’","Municipality",142.35,43.7666666667
"朝霞市","あさかし","Asaka Shi","139 ゚ 35’","35 ゚ 47’","Municipality",139.5833333333,35.7833333333
"浅川町","あさかわまち","Asakawa Machi","140 ゚ 24’","37 ゚ 04’","Municipality",140.4,37.0666666667
"浅口市","あさくちし","Asakuchi Shi","133 ゚ 35’","34 ゚ 31’","Municipality",133.5833333333,34.5166666667
"朝倉市","あさくらし","Asakura Shi","130 ゚ 39’","33 ゚ 25’","Municipality",130.65,33.4166666667
"浅草","あさくさ","Asakusa","139 ゚ 47’","35 ゚ 42’","Populated area",139.7833333333,35.7
"浅草岳","あさくさだけ","Asakusa Dake","139 ゚ 13’","37 ゚ 20’","Mountain",139.2166666667,37.3333333333
"浅間山","あさまやま","Asama Yama","138 ゚ 30’","36 ゚ 24’","Mountain",138.5,36.4
"朝熊ヶ岳","あさまがたけ","Asamagatake","136 ゚ 46’","34 ゚ 27’","Mountain",136.7666666667,34.45
"浅間隠山","あさまかくしやま","Asamakakushi Yama","138 ゚ 38’","36 ゚ 27’","Mountain",138.6333333333,36.45
"浅虫","あさむし","Asamushi","140 ゚ 51’","40 ゚ 53’","Populated area",140.85,40.8833333333
"浅瀬石川","あせいしがわ","Aseishi Gawa","140 ゚ 37’","40 ゚ 37’","River",140.6166666667,40.6166666667
"芦辺","あしべ","Ashibe","129 ゚ 45’","33 ゚ 47’","Populated area",129.75,33.7833333333
"芦別岳","あしべつだけ","Ashibetsu Dake","142 ゚ 16’","43 ゚ 14’","Mountain",142.2666666667,43.2333333333
"芦別川","あしべつがわ","Ashibetsu Gawa","142 ゚ 09’","43 ゚ 27’","River",142.15,43.45
"芦別市","あしべつし","Ashibetsu Shi","142 ゚ 11’","43 ゚ 31’","Municipality",142.1833333333,43.5166666667
"芦田川","あしだがわ","Ashida Gawa","133 ゚ 24’","34 ゚ 25’","River",133.4,34.4166666667
"足利市","あしかがし","Ashikaga Shi","139 ゚ 26’","36 ゚ 20’","Municipality",139.4333333333,36.3333333333
"芦北町","あしきたまち","Ashikita Machi","130 ゚ 29’","32 ゚ 17’","Municipality",130.4833333333,32.2833333333
"芦ノ湖","あしのこ","Ashinoko","139 ゚ 00’","35 ゚ 11’","Lake",139,35.1833333333
"足尾山地","あしおさんち","Ashio Sanchi","139 ゚ 33’","36 ゚ 37’","Extensive natural feature",139.55,36.6166666667
"愛鷹山","あしたかやま","Ashitaka Yama","138 ゚ 48’","35 ゚ 11’","Mountain",138.8,35.1833333333
"芦屋町","あしやまち","Ashiya Machi","130 ゚ 39’","33 ゚ 53’","Municipality",130.65,33.8833333333
"芦屋市","あしやし","Ashiya Shi","135 ゚ 18’","34 ゚ 43’","Municipality",135.3,34.7166666667
"足摺岬","あしずりみさき","Ashizuri Misaki","133 ゚ 01’","32 ゚ 43’","Cape",133.0166666667,32.7166666667
"足寄町","あしょろちょう","Ashoro Cho","143 ゚ 33’","43 ゚ 14’","Municipality",143.55,43.2333333333
"足寄川","あしょろがわ","Ashoro Gawa","143 ゚ 39’","43 ゚ 16’","River",143.65,43.2666666667
"阿蘇山","あそさん","Aso San","131 ゚ 04’","32 ゚ 53’","Mountain",131.0666666667,32.8833333333
"阿蘇市","あそし","Aso Shi","131 ゚ 07’","32 ゚ 57’","Municipality",131.1166666667,32.95
"厚沢部町","あっさぶちょう","Assabu Cho","140 ゚ 13’","41 ゚ 55’","Municipality",140.2166666667,41.9166666667
"厚沢部川","あっさぶがわ","Assabu Gawa","140 ゚ 15’","41 ゚ 53’","River",140.25,41.8833333333
"明日香村","あすかむら","Asuka Mura","135 ゚ 49’","34 ゚ 28’","Municipality",135.8166666667,34.4666666667
"足羽川","あすわがわ","Asuwa Gawa","136 ゚ 15’","36 ゚ 01’","River",136.25,36.0166666667
"愛宕山","あたごやま","Atago Yama","135 ゚ 37’","35 ゚ 03’","Mountain",135.6166666667,35.05
"愛宕山","あたごやま","Atago Yama","139 ゚ 58’","35 ゚ 06’","Mountain",139.9666666667,35.1
"熱海市","あたみし","Atami Shi","139 ゚ 04’","35 ゚ 05’","Municipality",139.0666666667,35.0833333333
"当間山","あてまやま","Atema Yama","138 ゚ 45’","37 ゚ 00’","Mountain",138.75,37
"阿戸","あと","Ato","132 ゚ 38’","34 ゚ 22’","Populated area",132.6333333333,34.3666666667
"阿東町","あとうちょう","Ato Cho","131 ゚ 43’","34 ゚ 23’","Municipality",131.7166666667,34.3833333333
"安渡移矢岬","あといやみさき","Atoiya Misaki","146 ゚ 34’","44 ゚ 28’","Cape",146.5666666667,44.4666666667
"阿登佐岳","あとさだけ","Atosa Dake","147 ゚ 07’","44 ゚ 48’","Mountain",147.1166666667,44.8
"アトサヌプリ","あとさぬぷり","Atosa Nupuri","144 ゚ 25’","43 ゚ 36’","Mountain",144.4166666667,43.6
"厚木市","あつぎし","Atsugi Shi","139 ゚ 21’","35 ゚ 26’","Municipality",139.35,35.4333333333
"厚真町","あつまちょう","Atsuma Cho","141 ゚ 52’","42 ゚ 43’","Municipality",141.8666666667,42.7166666667
"厚真川","あつまがわ","Atsuma Gawa","141 ゚ 48’","42 ゚ 36’","River",141.8,42.6
"渥美半島","あつみはんとう","Atsumi Hanto","137 ゚ 06’","34 ゚ 36’","Extensive natural feature",137.1,34.6
"阿波市","あわし","Awa Shi","134 ゚ 14’","34 ゚ 04’","Municipality",134.2333333333,34.0666666667
"粟島","あわしま","Awa Shima","133 ゚ 38’","34 ゚ 16’","Island",133.6333333333,34.2666666667
"粟島","あわしま","Awa Shima","139 ゚ 14’","38 ゚ 27’","Island",139.2333333333,38.45
"鮑荒崎","あわびあらさき","Awabiara Saki","141 ゚ 35’","38 ゚ 16’","Cape",141.5833333333,38.2666666667
"粟ヶ岳","あわがたけ","Awagatake","139 ゚ 11’","37 ゚ 33’","Mountain",139.1833333333,37.55
"淡路市","あわじし","Awaji Shi","134 ゚ 54’","34 ゚ 26’","Municipality",134.9,34.4333333333
"淡路島","あわじしま","Awaji Shima","134 ゚ 50’","34 ゚ 24’","Island",134.8333333333,34.4
"芦原","あわら","Awara","136 ゚ 11’","36 ゚ 13’","Populated area",136.1833333333,36.2166666667
"あわら市","あわらし","Awara Shi","136 ゚ 13’","36 ゚ 12’","Municipality",136.2166666667,36.2
"粟島浦村","あわしまうらむら","Awashimaura Mura","139 ゚ 15’","38 ゚ 28’","Municipality",139.25,38.4666666667
"粟津","あわづ","Awazu","136 ゚ 26’","36 ゚ 19’","Populated area",136.4333333333,36.3166666667
"綾町","あやちょう","Aya Cho","131 ゚ 15’","31 ゚ 59’","Municipality",131.25,31.9833333333
"綾部市","あやべし","Ayabe Shi","135 ゚ 15’","35 ゚ 17’","Municipality",135.25,35.2833333333
"綾川町","あやがわちょう","Ayagawa Cho","133 ゚ 55’","34 ゚ 14’","Municipality",133.9166666667,34.2333333333
"綾瀬市","あやせし","Ayase Shi","139 ゚ 25’","35 ゚ 26’","Municipality",139.4166666667,35.4333333333
"莇ヶ岳","あざみがだけ","Azamigadake","131 ゚ 46’","34 ゚ 19’","Mountain",131.7666666667,34.3166666667
"安土町","あづちちょう","Azuchi Cho","136 ゚ 08’","35 ゚ 07’","Municipality",136.1333333333,35.1166666667
"的山大島","あずちおおしま","Azuchi-oshima","129 ゚ 32’","33 ゚ 29’","Island",129.5333333333,33.4833333333
"四阿山","あずまやさん","Azumaya San","138 ゚ 24’","36 ゚ 32’","Mountain",138.4,36.5333333333
"安曇野市","あづみのし","Azumino Shi","137 ゚ 53’","36 ゚ 18’","Municipality",137.8833333333,36.3
"梓川","あずさがわ","Azusa Gawa","137 ゚ 41’","36 ゚ 16’","River",137.6833333333,36.2666666667
"磐梯町","ばんだいまち","Bandai Machi","139 ゚ 59’","37 ゚ 33’","Municipality",139.9833333333,37.55
"磐梯山","ばんだいさん","Bandai San","140 ゚ 03’","37 ゚ 36’","Mountain",140.05,37.6
